Wall time,Step,Value
1519868083.474366,0,0.0
1519868083.813902,1,0.0
1519868084.945278,2,0.009703378193080425
1519868085.309532,3,0.013375846669077873
1519868085.820173,4,0.006158920004963875
1519868086.734399,5,0.0007593691698275506
1519868087.56245,6,7.019450276857242e-05
1519868089.510239,7,5.847783540957607e-05
1519868090.003402,8,6.312180630629882e-05
1519868090.448438,9,4.908407208858989e-05
1519868090.923455,10,5.215982309891842e-05
1519868091.752778,11,5.063985736342147e-05
1519868092.089174,12,8.957121463026851e-05
1519868092.413954,13,5.1846596761606634e-05
1519868092.705095,14,8.409182191826403e-05
1519868093.029819,15,0.0001295005640713498
1519868093.346111,16,6.102507177274674e-05
1519868093.656927,17,5.909409446758218e-05
1519868093.970296,18,6.78065771353431e-05
1519868094.247165,19,5.7954093790613115e-05
1519868094.537472,20,5.651337414747104e-05
1519868094.842797,21,6.0693964769598097e-05
1519868095.108729,22,6.494667468359694e-05
1519868095.406964,23,8.399093348998576e-05
1519868096.09331,24,0.00010907148680416867
1519868097.397588,25,0.0005059425602667034
1519868097.680586,26,0.0020470183808356524
1519868097.960056,27,0.0013896726304665208
1519868098.25675,28,0.0014239491429179907
1519868098.543578,29,0.0018857218092307448
1519868099.263953,30,0.0014090759214013815
1519868099.604791,31,0.0012332835467532277
1519868099.925919,32,0.0009237462072633207
1519868100.211398,33,0.0009354150388389826
1519868100.54796,34,0.0008367733098566532
1519868100.84437,35,0.0008118684054352343
1519868101.126349,36,0.0008245285716839135
1519868101.407558,37,0.0007555780466645956
1519868101.705128,38,0.0009041199227795005
1519868101.994717,39,0.0008296846644952893
1519868102.279004,40,0.0009242185624316335
1519868102.563324,41,0.0008492827764712274
1519868102.839683,42,0.0008054319187067449
1519868103.118759,43,0.0006122383056208491
1519868103.420254,44,0.0007010767585597932
1519868103.729364,45,0.0007510247523896396
1519868104.001074,46,0.000787299417424947
1519868104.289242,47,0.0008272280683740973
1519868104.604539,48,0.0009490388329140842
1519868104.922179,49,0.0007382503827102482
1519868105.196826,50,0.0008162479498423636
1519868105.498368,51,0.0007218648097477853
1519868105.791171,52,0.0007866001105867326
1519868106.116061,53,0.0008726803935132921
1519868106.442446,54,0.0011630065273493528
1519868106.794104,55,0.0009285396663472056
1519868107.134801,56,0.0009196032769978046
