Wall time,Step,Value
1519808221.716541,0,-0.8249966502189636
1519808222.351768,2,-0.1849052757024765
1519808222.621428,3,-0.21657362580299377
1519808222.89936,4,-0.2444610893726349
1519808223.204085,5,-0.19843068718910217
1519808223.586156,6,-0.16823509335517883
1519808223.975444,7,-0.21311861276626587
1519808224.302294,8,-0.20470932126045227
1519808224.598102,9,-0.2552501857280731
1519808224.868725,10,-0.3007567822933197
1519808225.114663,11,-0.3105805218219757
1519808225.369349,12,-0.3201899826526642
1519808225.619287,13,-0.3416837155818939
1519808226.252859,15,-0.3155139088630676
1519808226.558883,16,-0.3748541474342346
1519808226.814834,17,-0.34534165263175964
1519808227.161229,18,-0.3417298495769501
1519808227.443362,19,-0.3457692265510559
1519808227.700582,20,-0.32666125893592834
1519808227.991704,21,-0.3294821083545685
1519808228.275026,22,-0.3394220471382141
1519808228.536427,23,-0.34846392273902893
1519808228.825342,24,-0.33331364393234253
1519808229.08012,25,-0.29856303334236145
1519808229.581668,27,-0.2679656445980072
1519808230.182856,29,-0.15878145396709442
1519808230.4116,30,-0.23527108132839203
1519808230.804223,32,-0.24201974272727966
1519808230.99921,33,-0.2943858504295349
1519808231.200278,34,-0.3057776391506195
1519808231.426117,35,-0.30752381682395935
1519808231.643402,36,-0.25791671872138977
1519808231.844698,37,-0.2779352068901062
1519808232.069229,38,-0.33405035734176636
1519808232.278002,39,-0.32087406516075134
1519808232.474458,40,-0.2701106667518616
1519808232.675391,41,-0.3070952892303467
1519808232.859867,42,-0.2740526497364044
1519808233.266721,44,-0.3146207630634308
1519808233.471418,45,-0.2843509316444397
1519808233.686915,46,-0.3251616060733795
1519808233.88699,47,-0.2883332669734955
1519808234.10021,48,-0.24876342713832855
1519808234.284422,49,-0.27927833795547485
1519808234.693924,51,-0.2760682702064514
1519808235.110112,53,-0.25658634305000305
1519808235.309263,54,-0.3254842758178711
1519808235.501005,55,-0.32073289155960083
1519808235.694675,56,-0.31632199883461
1519808235.890548,57,-0.3090396225452423
1519808236.090928,58,-0.28885743021965027
1519808236.280646,59,-0.27620866894721985
1519808236.484804,60,-0.32440614700317383
1519808236.670865,61,-0.27000880241394043
1519808236.870516,62,-0.297280877828598
1519808237.070599,63,-0.3336275517940521
1519808237.257175,64,-0.28801557421684265
1519808237.454904,65,-0.2537458837032318
1519808237.649919,66,-0.31173449754714966
1519808237.865848,67,-0.3236349821090698
1519808238.055145,68,-0.26310470700263977
1519808238.249063,69,-0.28318408131599426
1519808238.460612,70,-0.32793617248535156
1519808238.665484,71,-0.3210490942001343
1519808238.850318,72,-0.2543107271194458
1519808239.031892,73,-0.28286507725715637
1519808239.213897,74,-0.2792372405529022
1519808239.393016,75,-0.2671956419944763
1519808239.567994,76,-0.27574214339256287
1519808239.746676,77,-0.2611871659755707
1519808239.923602,78,-0.2998460829257965
1519808240.14467,79,-0.3390217423439026
1519808240.339638,80,-0.2848345637321472
1519808240.523318,81,-0.3353261649608612
1519808240.72402,82,-0.31720682978630066
1519808240.903497,83,-0.2884260416030884
1519808241.102076,84,-0.3008115589618683
1519808241.287583,85,-0.3115830719470978
1519808241.661668,87,-0.31494948267936707
1519808241.84642,88,-0.2608028054237366
1519808242.024916,89,-0.2958563268184662
1519808242.227992,90,-0.31524744629859924
1519808242.452184,91,-0.2895841896533966
1519808242.673343,92,-0.2199985682964325
1519808243.434345,94,-0.20211774110794067
1519808243.699934,95,-0.3189699351787567
1519808243.973217,96,-0.30139821767807007
1519808244.258347,97,-0.3247811198234558
1519808244.531476,98,-0.30561816692352295
1519808245.311248,100,-0.3301733136177063
1519808245.559044,101,-0.3322194814682007
1519808246.061577,102,-0.3644212484359741
1519808246.814802,104,-0.3185338079929352
1519808247.089387,105,-0.3230067491531372
1519808247.345721,106,-0.28949204087257385
1519808247.59639,107,-0.2992093563079834
1519808247.817872,108,-0.3089686930179596
1519808248.043416,109,-0.300625205039978
1519808248.274433,110,-0.2814842760562897
1519808248.477294,111,-0.28545522689819336
1519808248.673176,112,-0.3025974929332733
1519808248.906991,113,-0.2696889638900757
1519808249.109585,114,-0.3127129375934601
1519808249.32714,115,-0.31900808215141296
1519808249.537256,116,-0.3200916349887848
1519808249.984967,118,-0.3009284734725952
1519808250.454819,120,-0.3625483214855194
1519808250.675683,121,-0.2634147107601166
1519808250.906126,122,-0.29513680934906006
1519808251.109544,123,-0.293014258146286
1519808251.320981,124,-0.2607034146785736
1519808251.51892,125,-0.31426483392715454
1519808251.725844,126,-0.30643799901008606
1519808251.927763,127,-0.27111268043518066
1519808252.344975,129,-0.24135401844978333
1519808252.775906,131,-0.2880786657333374
1519808252.98903,132,-0.297521710395813
1519808253.189383,133,-0.200872540473938
1519808253.40387,134,-0.26181694865226746
1519808253.6471,135,-0.2281893491744995
1519808254.132454,137,-0.19838710129261017
1519808254.35386,138,-0.21450220048427582
1519808254.64793,139,-0.20078496634960175
1519808254.949799,140,-0.18334785103797913
1519808255.24666,141,-0.2027795910835266
1519808255.571482,142,-0.1731545478105545
1519808255.825883,143,-0.22360554337501526
1519808256.09215,144,-0.18234191834926605
1519808256.362077,145,-0.17393238842487335
1519808256.680645,146,-0.21077290177345276
1519808256.997361,147,-0.16500912606716156
1519808257.296415,148,-0.18082593381404877
1519808257.621193,149,-0.17377632856369019
1519808257.857432,150,-0.1881263703107834
1519808258.159681,151,-0.19166184961795807
1519808258.751398,153,-0.19451424479484558
1519808259.038627,154,-0.1885729432106018
1519808259.361079,155,-0.19195392727851868
1519808259.655647,156,-0.1989118754863739
1519808260.009551,157,-0.1751457005739212
1519808260.295442,158,-0.20645061135292053
1519808260.6513,159,-0.14999409019947052
1519808260.977946,160,-0.19735130667686462
1519808261.347168,161,-0.18351510167121887
1519808261.666436,162,-0.17147749662399292
1519808261.956984,163,-0.1555040329694748
1519808262.244876,164,-0.18388105928897858
1519808262.547697,165,-0.19982284307479858
1519808262.80531,166,-0.1873837262392044
