Wall time,Step,Value
1519830545.811354,0,0.0
1519830546.021883,1,0.0
1519830547.072398,2,0.008213871158659458
1519830547.375516,3,0.03703116998076439
1519830547.694428,4,0.040892016142606735
1519830547.986881,5,0.04284822195768356
1519830548.264892,6,0.04219696670770645
1519830548.531689,7,0.03970835730433464
1519830548.794382,8,0.03758116066455841
1519830549.042655,9,0.03577592223882675
1519830549.310085,10,0.034590184688568115
1519830549.552004,11,0.03223057836294174
1519830549.808911,12,0.031635869294404984
1519830550.068631,13,0.031218454241752625
1519830550.332493,14,0.03087788075208664
1519830550.599401,15,0.030255500227212906
1519830550.863066,16,0.02905147336423397
1519830551.109598,17,0.028628427535295486
1519830551.376874,18,0.028262503445148468
1519830551.621115,19,0.028050497174263
1519830551.886041,20,0.027533434331417084
1519830552.15363,21,0.026180487126111984
1519830552.41818,22,0.027309980243444443
1519830552.66469,23,0.026591401547193527
1519830552.929659,24,0.025848237797617912
1519830553.208102,25,0.026587992906570435
1519830553.472638,26,0.024906357750296593
1519830553.745339,27,0.025834377855062485
1519830554.004391,28,0.024902433156967163
1519830554.269717,29,0.02451620064675808
1519830554.544616,30,0.02498537302017212
1519830554.796583,31,0.025440998375415802
1519830555.057804,32,0.024581722915172577
1519830555.328562,33,0.024232450872659683
1519830555.599268,34,0.024322086945176125
1519830555.868011,35,0.024186834692955017
1519830556.131868,36,0.02495977096259594
1519830556.392118,37,0.02382926642894745
1519830556.640361,38,0.02518441528081894
1519830556.900161,39,0.02364572510123253
1519830557.192356,40,0.02428484335541725
1519830557.932556,41,0.024215808138251305
1519830558.491888,42,0.006043830420821905
1519830558.717793,43,0.003765006549656391
1519830558.947943,44,0.004142512567341328
1519830559.186662,45,0.0039930264465510845
1519830559.399818,46,0.005027835723012686
1519830559.621706,47,0.006727719679474831
1519830559.849287,48,0.008860939182341099
1519830560.076422,49,0.00889018177986145
1519830560.304727,50,0.008520213887095451
1519830560.50974,51,0.01077369973063469
1519830560.733103,52,0.013809813186526299
1519830560.976653,53,0.011345429345965385
1519830561.31366,54,0.006615543272346258
1519830561.613659,55,0.003917256370186806
1519830561.931251,56,0.006614829879254103
1519830562.236181,57,0.006003471091389656
1519830562.549224,58,0.005553497467190027
1519830562.877353,59,0.006533351726830006
1519830563.225766,60,0.009875234216451645
1519830563.584829,61,0.010084782727062702
1519830563.936068,62,0.009668841026723385
1519830564.326332,63,0.006616797763854265
1519830564.719324,64,0.00779392383992672
1519830565.071646,65,0.011246655136346817
1519830566.211898,66,0.020150115713477135
1519830566.554447,67,0.07723430544137955
1519830566.852008,68,0.06589558720588684
1519830567.469813,69,0.04398316890001297
1519830568.53866,70,0.020994767546653748
1519830569.606792,71,0.01338898204267025
1519830569.842111,72,0.006795179098844528
1519830570.077411,73,0.0010880560148507357
1519830570.29351,74,0.0022196676582098007
1519830570.518987,75,0.0019172865431755781
1519830570.745398,76,0.0015750883612781763
1519830570.981341,77,0.00228213076479733
1519830571.211228,78,0.0014407515991479158
1519830571.441447,79,0.0033392247278243303
1519830571.682712,80,0.0034899781458079815
1519830571.898111,81,0.003539249300956726
1519830572.132555,82,0.005281505174934864
1519830572.344355,83,0.0056094522587955
1519830572.57183,84,0.005997602827847004
1519830572.813358,85,0.0069731539115309715
1519830573.046837,86,0.003697061212733388
1519830573.26692,87,0.004903463646769524
1519830573.502869,88,0.004641084000468254
1519830573.743397,89,0.002748708473518491
1519830573.961825,90,0.0039192670956254005
1519830574.19216,91,0.004733801353722811
1519830574.410049,92,0.004896249156445265
1519830574.63143,93,0.002425809158012271
1519830574.839323,94,0.0015595871955156326
